id,title,subtitle,author,publication,published_date,read_time_mins,claps,url,skills,data_skills
6bb5165e67e6,How I became a Data Engineer from scratch,I will explain how I left the Sales field without data skills to become a Data Engineer.,Lucaspressi,,11/08/2021,6,252,https://medium.com/@lucaspressi/how-i-became-a-data-engineer-from-scratch-6bb5165e67e6,Sales,
aa8797fa9070,Stream Your Database Changes with Change Data Capture,,Taron Foxworth,Meroxa,11/08/2021,9,181,https://medium.com/meroxa/stream-your-database-changes-with-change-data-capture-aa8797fa9070,Data Capture; Database,
50f501b64ba7,Ultimate Guide to Data Engineer Interviews in 2021,,Nitesh Chaudhry,Level Up Coding,12/08/2021,3,232,https://levelup.gitconnected.com/ultimate-guide-to-data-engineer-interviews-in-2021-50f501b64ba7,,
34ee91f4d05d,Building DataAware: The In-House Funnel Analytics Tool At Dream11,,Dream11 Engineering,Dream11 Engineering,12/08/2021,5,162,https://blog.dream11engineering.com/building-dataaware-the-in-house-funnel-analytics-tool-at-dream11-34ee91f4d05d,Analytical,
962f286d1566,Part I-I : Data Warehouse Modelling Concept,TOC | Part I-II 👉,William Ong,Analytics Vidhya,14/08/2021,7,218,https://medium.com/analytics-vidhya/part-i-i-data-warehouse-modelling-concept-962f286d1566,Modelling,
ac7ed38d7b4,Project #1 : Solving Problem in E-Commerce with Data,TOC | Part I-I 👉,William Ong,,14/08/2021,2,175,https://medium.com/@williamong1400/project-1-solving-problem-in-e-commerce-with-data-ac7ed38d7b4,eCommerce,
f78a6371e43c,Guarantee Consistency in Your Delta Lake Table(s),Learn how to integrate lakeFS hooks to validate data…,Paul Singman,Whispering Data,15/08/2021,4,101,https://medium.com/whispering-data/guarantee-consistency-in-your-delta-lake-table-s-f78a6371e43c,Table,
eab289b1ea0c,4 Full Practice Tests To Prepare Databricks Associate Certification (PySpark | 2021),,AnBento,CodeX,16/08/2021,11,663,https://medium.com/codex/4-full-practice-tests-to-prepare-databricks-associate-certification-pyspark-2021-eab289b1ea0c,Databricks; PySpark,
9043776b7b76,Pinterest’s Analytics as a Platform on Druid (Part 1 of 3),,Pinterest Engineering,Pinterest Engineering Blog,19/08/2021,6,154,https://medium.com/pinterest-engineering/pinterests-analytics-as-a-platform-on-druid-part-1-of-3-9043776b7b76,Analytical; Apache Druid; Platform,
9f9f211849e4,Why You Should Probably Never Use pandas inplace=True,Truly it is a curse on the library and a pox on…,Sven Harris,Towards Data Science,20/08/2021,8,141,https://towardsdatascience.com/why-you-should-probably-never-use-pandas-inplace-true-9f9f211849e4,Pandas,
aff78731849b,“That Escalated Quickly”: Kumu’s Big Data Journey,,Kumu Data Team,,20/08/2021,6,490,https://medium.com/@karlitodata/that-escalated-quickly-kumus-big-data-journey-aff78731849b,Big Data,
928b4a776c94,10 Challenging Aspects of Software Engineering,Some activities we don’t spend enough time on,Anna Geller,Better Programming,20/08/2021,6,285,https://betterprogramming.pub/10-challenging-aspects-of-software-engineering-928b4a776c94,Software Engineering,
8f46bb284474,Data Engineering Technologies in 2021,A curated list of emerging Technologies in Data Engineering.,Tech Ninja,Technology Now and Next,22/08/2021,5,387,https://medium.com/technexthere/data-engineering-technologies-2021-8f46bb284474,Data Engineering; Engineering Technology,
34213e3db591,Data Science vs Data Engineering vs Machine Learning Engineering,,Ambarish Chatterjee,Analytics Vidhya,22/08/2021,7,104,https://medium.com/analytics-vidhya/data-science-vs-data-engineering-vs-machine-learning-engineering-34213e3db591,Data Engineering; Data Science; Machine Learning,
6de7209b04e4,The 4 Phases of Data Lifecycle Management,Useful datasets are created through a process that involves…,Paul Singman,Whispering Data,23/08/2021,6,108,https://medium.com/whispering-data/the-4-phases-of-data-lifecycle-management-6de7209b04e4,Dataset; Management,
b294639761a7,แชร์ประสบการณ์สอบ Cert Google Cloud และแนวทาง [Professional Cloud Developer][ฉบับคนสอบตกภาษาอังกฤษ],,Teetirat Veangngoen,TDG Engineering,23/08/2021,2,109,https://medium.com/tdg-engineering/%E0%B9%81%E0%B8%8A%E0%B8%A3%E0%B9%8C%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%9A%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%AA%E0%B8%AD%E0%B8%9A-cert-google-cloud-%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B9%81%E0%B8%99%E0%B8%A7%E0%B8%97%E0%B8%B2%E0%B8%87-professional-cloud-developer-%E0%B8%89%E0%B8%9A%E0%B8%B1%E0%B8%9A%E0%B8%84%E0%B8%99%E0%B8%AA%E0%B8%AD%E0%B8%9A%E0%B8%95%E0%B8%81%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%AD%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%A4%E0%B8%A9-b294639761a7,Google Cloud Platform (GCP),
