id,title,channel,url,published_date,description,language,view_count,like_count,dislike_count,comment_count,relevance,data_skills,skills
whSlyWHa0kU,"Class 78 - Learning Data Science - DWH, ETL and SQL - 26-08-2020",Suddhasatwa Bhaumik,https://youtube.com/watch?v=whSlyWHa0kU,2020-11-02T18:59:22Z,"Class 78 - Learning Data Science - DWH, ETL and SQL - 26-08-2020.",,29,0,0,0,41.0,Extract Transform Load (ETL),Data Science; Extract Transform Load (ETL); Structured Query Language (SQL)
wnqkfpCpK1g,AI And Machine Learning Full Course | Artificial Intelligence &amp; Machine Learning Course |Simplilearn,Simplilearn,https://youtube.com/watch?v=wnqkfpCpK1g,2021-05-12T19:42:38Z,This complete Artificial Intelligence and Machine Learning full course video cover all the topics that you need to know to become a master in the field of AI and ...,en,38159,1338,15,39,13.0,Deep Learning; Artificial Intelligence (AI),Analytical; Android; Artificial Intelligence (AI); Azure Machine Learning; Classification; Clustering; Cognitive; Deep Learning; Facebook; Information Technology (IT); Instagram; Keras; LinkedIn; Machine Learning Algorithm; Microsoft Access; R; Recurrent Neural Network (RNN); Reinforcement Learning; Robot; Telegram; TensorFlow; Training; Twitter; Video; Youtube; iOS
wscb2XfWI1Q,Regression Analysis Statistics Complete Chapter in Single Video | Correlation and Regression,Grooming Education Academy,https://youtube.com/watch?v=wscb2XfWI1Q,2020-10-28T11:38:34Z,"Regression analysis statistics all concepts, example and problems for ca, cs, cma, bcom. bba, mcom, UPSC, ssc-cgl, mba, UGC-net and other commerce ...",hi,120205,3110,55,314,11.0,Regressions,.NET Framework; Correlation; Descriptive Statistics; Facebook; Instagram; Investment; Linear Regression; Nonlinear Regression; Play; Probability; Reasoning; Regression; Regression Analysis; Research; Variable; Video; eCommerce
wtASvAgPepY,44 Learn Tableau in a Minute - Create a Histogram,Dino Sossi,https://youtube.com/watch?v=wtASvAgPepY,2021-04-30T12:32:22Z,"Want to learn Tableau, but do not have the time? Learn Tableau in a minute at a time. Here you will create a histogram using publicly available data. Enjoy!",,22,1,0,0,49.0,Tableau,Histogram; Tableau
wyn-PkJB3Lk,What is ETL for Beginners | Introduction to ETL | ETL Non-Technical Explanation| SkillCurb,SkillCurb,https://youtube.com/watch?v=wyn-PkJB3Lk,2020-11-05T22:55:39Z,In this video lecture we will explain what ETL is and what it mean in a non technical way. ETL is a very important concept that every IT professional should ...,en,26213,409,25,10,1.0,Extract Transform Load (ETL),Data Science; Extract Transform Load (ETL); Information Technology (IT); Machine Learning; Transformer; Video
wzrwN2wGJwU,Mongodb tutorials | Mongodb : Introduction |  Session - 1 | 18-12-2020 | 8AM | by Durga Sir,Durga Software Solutions,https://youtube.com/watch?v=wzrwN2wGJwU,2020-12-19T07:38:05Z,MONGODB Online Training in DURGASOFT =================================== MONGODB Online Training By Mr. DURGA Sir on 21st Dec @8AM ...,en,25416,390,18,38,15.0,MongoDB,Email; MongoDB; Training; Video; Youtube
wzyEfgEKfEE,How to Run an SEO A/B Test [Template Included],SMA Marketing,https://youtube.com/watch?v=wzyEfgEKfEE,2020-11-16T11:00:15Z,Ever wonder if changing a title tag would have a positive or negative impact on your organic search visibility? Or how about changing the meta-description and ...,en,1131,24,0,9,6.0,AB Testing,.NET Framework; A/B Testing; Algorithm; Artificial Intelligence (AI); Lead Generation; Marketing; QA Testing; Search Engine Optimization (SEO); Semantics; Template; Video; Youtube
x0ycf3SZic4,"Part VIII. Reinforcement Learning Trading Strategy. DQN: QNetwork, QRNNNetwork",CloseToAlgoTrading,https://youtube.com/watch?v=x0ycf3SZic4,2020-10-31T22:00:31Z,This is the part VIII of the Deep Learning Trading Strategy from the beginning to the production series. In this video we are going to explore the training steps of ...,en,3042,71,0,33,39.0,Reinforcement,Deep Learning; Git; Github; Recurrent Neural Network (RNN); Reinforcement Learning; TensorFlow; Training; Tree; Video
x3BDzKw3dtQ,What Scientists Can Learn From Ancient Tribes | The Nature of Life | Spark,Spark,https://youtube.com/watch?v=x3BDzKw3dtQ,2021-07-23T17:00:41Z,The Nature of Life is an epic documentary feature film that will provide solutions to humanity's greatest challenge yet - Global Climate Change. So far all we have ...,en-GB,19821,293,55,83,13.0,SPARK,Apache Spark; Design; Engineering; Epic; Facebook; Instagram; Sustainability; Sustainable Development; Video
xAebkLDFVyk,36 Learn Tableau in a Minute - Create a Horizontal Bar Chart,Dino Sossi,https://youtube.com/watch?v=xAebkLDFVyk,2021-04-29T17:40:22Z,"Want to learn Tableau, but do not have the time? Learn Tableau in a minute at a time. Here you will create a horizontal bar chart using publicly available data.",,8,0,0,0,30.0,Tableau,Bar Chart; Tableau
xGFd3JvGHrg,Learn Fastify by building REST API with MongoDB,Hitesh Choudhary,https://youtube.com/watch?v=xGFd3JvGHrg,2021-02-28T09:38:36Z,Videos will come to youtube as well but in case you want an early access with code files: https://courses.learncodeonline.in/learn/Fastify-Crash-Course (it's free) ...,en,10055,429,16,35,33.0,MongoDB,Application Programming Interface (API); Facebook; Instagram; Links; Microsoft Access; MongoDB; Play; Representational state transfer (REST); Research; User Interface (UI); Video; Youtube
xGtyO-Q_uCE,Learn Hadoop,Learn Hadoop,https://youtube.com/watch?v=xGtyO-Q_uCE,2021-05-31T11:53:28Z,Here I have tried to give a description of Big data and Hadoop and some of it's commands and this I hope will be useful to others.,en,23,0,0,0,2.0,Hadoop,Apache Hadoop; Big Data
xMNQGeqJtaA,Programming Languages for AI - Artificial Intelligence | What Languages to Learn to get into AI,Ask Raghulan,https://youtube.com/watch?v=xMNQGeqJtaA,2021-01-07T02:43:19Z,Programming Languages for AI - Artificial Intelligence | What Languages to Learn to get into AI Social Media Links Facebook - https://www.,ta,655,50,2,13,27.0,Artificial Intelligence (AI),Android; Application Programming Interface (API); Artificial Intelligence (AI); Design; English; Entertainment; Facebook; Instagram; Internet of Things (IoT); Links; Network; Programming Language; Python; RStudio; Social Media; Tamil; TikTok; Web Development
xPz7HAQ2sKk,Stardog Academy Fundamentals: Data Science + Machine Learning,Stardog,https://youtube.com/watch?v=xPz7HAQ2sKk,2021-03-12T20:53:43Z,This intermediate-level training teaches Stardog's Machine Learning capabilities for the data science domain and predictive analytics. Learn how to build a ...,en,97,0,0,0,49.0,Data Preparation,Accuracy; Azure Machine Learning; Data Science; Modelling; Predictive Analytics; Training
xTIg4piBMQg,Learn to use Git and GitHub in 20 minutes!!! | CSI-KJSCE,CSI KJSCE,https://youtube.com/watch?v=xTIg4piBMQg,2021-08-26T18:44:12Z,"In this video, we are going to cover all the relevant topics needed for beginner to get acquainted with usage of Git and GitHub. We will cover few of the most ...",,184,15,1,0,41.0,Github,Coding; Control System Design; Facebook; Free Hand; Git; Github; Instagram; LinkedIn; Version Control System; Video; Youtube
